"RefDes","Value","Name","Quantity"
"C1, C2","10pF","CAP100","2"
"C3, C5","0.01uF","CAP100","2"
"C4, C6, C7, C18, C19","0.1uF","CAP100","5"
"C8, C9","24pF","CAP100","2"
"C10, C11","0.1 uF","CAP100","2"
"C12","0.1 uF","CAP","1"
"C13","4.7 uF","POLCAP","1"
"C14, C16, C17","10 uF","POLCAP","3"
"C15","100 uF","POLCAP","1"
"D1, D2, D3, D4, D5, D6, D7","","DIODE_1206","7"
"J1","","HDR-1x4","1"
"J2, J3","","90131-0128","2"
"J4","","644456-5","1"
"J5","","644456-3","1"
"J6","","1734081-1","1"
"J7","","0565790519","1"
"J8, J13, J15, J20, J21, J22, J23, J24","","02DB-6S","8"
"J9","","90131-0126","1"
"J10","","04DB-6S","1"
"J11","","103817-3","1"
"J12","","90131-0125","1"
"J14","","90131-0127","1"
"J16","","03DB-6S","1"
"J17","","0395310002","1"
"J18","","HDRF-2x2","1"
"J19","","HDRF-1x8","1"
"J28","","Raspberry Pi 3 Header","1"
"J29","","PPTC041LFBN-RC","1"
"R1, R7","4.7K","RES400","2"
"R2, R3, R4, R5, R6","10K","RES400","5"
"R8, R9, R10, R11, R12, R13, R14, R15, R16","1K","RES400","9"
"S1","","EVQ11D04K","1"
"U1","","UA78M33","1"
"U2","","TM4C123GH6PM","1"
"U3","","LTC2662","1"
"U4","","UA7805_TO263","1"
"U5","","MCP2221_PDIP","1"
"Y1","16MHz","HC49S","1"
"Y2","32.786KHz","R26-32.768","1"
"","","","76"
